"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"36","210663_s_at","KYNU","8942","kynureninase"
"37","208892_s_at","DUSP6","1848","dual specificity phosphatase 6"
"38","203836_s_at","MAP3K5","4217","mitogen-activated protein kinase kinase kinase 5"
"39","226757_at","IFIT2","3433","interferon induced protein with tetratricopeptide repeats 2"
"40","205476_at","CCL20","6364","C-C motif chemokine ligand 20"
"41","203837_at","MAP3K5","4217","mitogen-activated protein kinase kinase kinase 5"
"42","204194_at","BACH1","571","BTB domain and CNC homolog 1"
"43","226189_at","ITGB8","3696","integrin subunit beta 8"
"44","215629_s_at","DLEU2L","79469","deleted in lymphocytic leukemia 2-like"
"45","215629_s_at","DLEU2","8847","deleted in lymphocytic leukemia 2"
"46","215629_s_at","MIR15A","406948","microRNA 15a"
"47","227486_at","NT5E","4907","5'-nucleotidase ecto"
"48","214467_at","GPR65","8477","G protein-coupled receptor 65"
"49","235199_at","RNF125","54941","ring finger protein 125"
"50","209687_at","CXCL12","6387","C-X-C motif chemokine ligand 12"
"51","205003_at","DOCK4","9732","dedicator of cytokinesis 4"
"52","204620_s_at","VCAN","1462","versican"
"53","210118_s_at","IL1A","3552","interleukin 1 alpha"
"54","204385_at","KYNU","8942","kynureninase"
"55","204533_at","CXCL10","3627","C-X-C motif chemokine ligand 10"
"56","226302_at","ATP8B1","5205","ATPase phospholipid transporting 8B1"
"57","206290_s_at","RGS7","6000","regulator of G protein signaling 7"
"58","204114_at","NID2","22795","nidogen 2"
"59","211506_s_at","CXCL8","3576","C-X-C motif chemokine ligand 8"
"60","228033_at","E2F7","144455","E2F transcription factor 7"
"61","223869_at","SOST","50964","sclerostin"
"62","219287_at","KCNMB4","27345","potassium calcium-activated channel subfamily M regulatory beta subunit 4"
"63","226218_at","IL7R","3575","interleukin 7 receptor"
"64","1553994_at","NT5E","4907","5'-nucleotidase ecto"
"65","227480_at","SUSD2","56241","sushi domain containing 2"
"66","211122_s_at","CXCL11","6373","C-X-C motif chemokine ligand 11"
"67","204597_x_at","STC1","6781","stanniocalcin 1"
"68","1552546_a_at","LETM2","137994","leucine zipper and EF-hand containing transmembrane protein 2"
"69","208893_s_at","DUSP6","1848","dual specificity phosphatase 6"
"70","204619_s_at","VCAN","1462","versican"
"71","238462_at","UBASH3B","84959","ubiquitin associated and SH3 domain containing B"
"72","231568_at","CT47A11","255313","cancer/testis antigen family 47, member A11"
"73","231568_at","CT47A7","653282","cancer/testis antigen family 47, member A7"
"74","231568_at","CT47A10","728036","cancer/testis antigen family 47, member A10"
"75","231568_at","CT47A9","728042","cancer/testis antigen family 47, member A9"
"76","231568_at","CT47A8","728049","cancer/testis antigen family 47, member A8"
"77","231568_at","CT47A6","728062","cancer/testis antigen family 47, member A6"
"78","231568_at","CT47A5","728072","cancer/testis antigen family 47, member A5"
"79","231568_at","CT47A4","728075","cancer/testis antigen family 47, member A4"
"80","231568_at","CT47A3","728082","cancer/testis antigen family 47, member A3"
"81","231568_at","CT47A2","728090","cancer/testis antigen family 47, member A2"
"82","231568_at","CT47A1","728096","cancer/testis antigen family 47, member A1"
"83","231568_at","CT47A12","100507170","cancer/testis antigen family 47, member A12"
"84","1557094_at",NA,NA,NA
"85","210941_at","PCDH7","5099","protocadherin 7"
"86","228450_at","PLEKHA7","144100","pleckstrin homology domain containing A7"
"87","209839_at","DNM3","26052","dynamin 3"
"88","207173_x_at","CDH11","1009","cadherin 11"
"89","222662_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B"
"90","205535_s_at","PCDH7","5099","protocadherin 7"
"91","210355_at","PTHLH","5744","parathyroid hormone like hormone"
"92","1558501_at","DNM3","26052","dynamin 3"
"93","1555673_at","KRTAP2-3","730755","keratin associated protein 2-3"
"94","1555673_at","KRTAP2-4","85294","keratin associated protein 2-4"
"95","220030_at","STYK1","55359","serine/threonine/tyrosine kinase 1"
"96","206300_s_at","PTHLH","5744","parathyroid hormone like hormone"
"97","1554131_at","CCSER2","54462","coiled-coil serine rich protein 2"
"98","235518_at","SLC8A1","6546","solute carrier family 8 member A1"
